concept,standard name
us-gaap_NotesAndLoansReceivableNetNoncurrent,
cvco_CommercialLoansReceivableNoncurrent,
us-gaap_AccountsAndOtherReceivablesNetCurrent,
us-gaap_LongTermInvestmentsAndReceivablesNet,
cvco_InventoryFinanceNotesReceivableNetCurrentPortion,
cvco_LoansAndLeasesReceivableNetAmountCommercialNoncurrent,
NotesAndLoansReceivableNetCurrent,
cvco:InventoryFinanceNotesReceivableNetCurrentPortion,
NotesAndLoansReceivableNetNoncurrent,
cvco:LoansAndLeasesReceivableNetAmountCommercialNoncurrent,
cvco_CurrentPortionOfConsumerLoansReceivableNet,
LoansAndLeasesReceivableNetReportedAmountCommercial,
cvco:CurrentPortionOfConsumerLoansReceivableNet,
cvco:ConsumerLoansReceivableNet,
cvco_ConsumerLoansReceivableNet,
us-gaap_LoansAndLeasesReceivableNetReportedAmountCommercial,
us-gaap_AccountsNotesAndLoansReceivableNetCurrent,
AccountsNotesAndLoansReceivableNetCurrent,
us-gaap_ContractsReceivableClaimsAndUncertainAmountsExpectedToBeCollectedInRemainderOfFiscalYear,
us-gaap_ReceivablesNetCurrent,
ReceivablesNetCurrent,
kbr_UnbilledReceivablesOnUncompletedContracts,
trip_AccountsReceivableAndContractAssetsNetCurrent,
us-gaap_IncomeTaxesReceivable,
trip:AccountsReceivableAndContractAssetsNetCurrent,
us-gaap_IncomeTaxReceivable,
trip_ReceivableFromSaleOfMarketableSecurities,
IncomeTaxReceivable,
us-gaap_LoansReceivableHeldForSaleNetNotPartOfDisposalGroup,
us-gaap_LoansAndLeasesReceivableBeforeFeesGross,
us-gaap_LoansAndLeasesReceivableDeferredIncome,
us-gaap_LoansAndLeasesReceivableAllowance,
us-gaap_LoansAndLeasesReceivableNetReportedAmount,
LoansAndLeasesReceivableNetReportedAmount,
LoansAndLeasesReceivableAllowance,
LoansAndLeasesReceivableDeferredIncome,
LoansReceivableHeldForSaleNetNotPartOfDisposalGroup,
LoansReceivableHeldForSaleNetNotPartOfDisposalGroupMortgage,
LoansAndLeasesReceivableConsumerRealEstate,
LoansAndLeasesReceivableConsumerOther,
us-gaap_LoansAndLeasesReceivableConsumerOther,
us-gaap_LoansAndLeasesReceivableConsumerRealEstate,
us-gaap_LoansReceivableHeldForSaleNetNotPartOfDisposalGroupMortgage,
tfsl_LoansReceivableHeldforsaleNetNotPartOfDisposalGroup1,
us-gaap_FinancingReceivableAccruedInterestAfterAllowanceForCreditLoss,
FinancingReceivableAccruedInterestAfterAllowanceForCreditLoss,
fmcc_FinancingReceivableAccruedInterestAfterAllowanceForCreditLoss,
us-gaap_LoansReceivableHeldForSaleNet,
LoansReceivableHeldForSaleNet,
IncomeTaxesReceivable,
nuvb_InterestReceivableOnMarketableSecuritiesCurrent,
nuvb:InterestReceivableOnMarketableSecuritiesCurrent,
AccountsAndOtherReceivablesNetCurrent,
IncomeTaxesReceivableNoncurrent,
tho:FactoredAccountsReceivable,
tho:LiabilitiesRelatedToFactoredReceivables,
tho_FactoredAccountsReceivable,
tho_LiabilitiesRelatedToFactoredReceivables,
tho_AccountsAndOtherReceivablesNetCurrent,
tho_AccountsReceivableOtherCurrent,
hous_RelocationReceivables,
us-gaap_OtherReceivablesNetCurrent,
us-gaap_ValueAddedTaxReceivableCurrent,
ValueAddedTaxReceivableCurrent,
us-gaap_ReceivablesFromBrokersDealersAndClearingOrganizations,
us-gaap_AccruedFeesAndOtherRevenueReceivable,
gbl_IncomeTaxReceivableAndDeferredTaxAssets,
us-gaap_AccountsReceivableRelatedPartiesCurrent,
f10k2022_OtherReceivablesRelatedParty,
us-gaap_OtherReceivables,
us-gaap_NotesReceivableRelatedPartiesNoncurrent,
NotesReceivableRelatedPartiesNoncurrent,
us-gaap_InterestReceivableNoncurrent,
cdtx_AccountsReceivablePrepaidExpensesAndOtherAssetsCurrent,
egan_NotesReceivableFromStockholders,
egan:NotesReceivableFromStockholders,
us-gaap_LongTermAccountsNotesAndLoansReceivableNetNoncurrent,
LongTermAccountsNotesAndLoansReceivableNetNoncurrent,
LongTermInvestmentsAndReceivablesNet,
OtherReceivablesNetCurrent,
OtherReceivables,
dow:AsbestosRelatedInsuranceReceivablesNoncurrent,
ares_ReceivableForSecuritiesSold,
us-gaap_AccruedInvestmentIncomeReceivable,
ares_PerformanceFeesReceivable,
us-gaap_AllowanceForDoubtfulAccountsReceivableCurrent,
